"Localidades";"Períodos";"Valor Adicionado Total (Em mil reais correntes)";"Valor Adicionado da Administração Pública (Em mil reais correntes)";"Valor Adicionado na Indústria (Em mil reais correntes)";"Valor Adicionado dos Serviços (Em mil reais correntes)";"Valor Adicionado da Agropecuária (Em mil reais correntes)";"Impostos sobre Produtos Líquidos de Subsídios (Em mil reais correntes)";"Participação da Administração Pública no Total do Valor Adicionado (Em %)";"Participação da Indústria no Total do Valor Adicionado (Em %)";"Participação dos Serviços no Total do Valor Adicionado (Em %)";"Participação da Agropecuária no Total do Valor Adicionado (Em %)";"Cód. IBGE"
"Altinópolis";"2015";"358175,2";"61820,01";"21984,43";"236736,26";"99454,51";"18366,01";"17,26";"6,14";"66,1";"27,77";3501004
"Alto Alegre";"2011";"65169,95";"13853,7";"4140,37";"31533,64";"29495,94";"1841,78";"21,26";"6,35";"48,39";"45,26";3501103
"Alto Alegre";"2012";"78235,88";"14728,32";"4342,84";"35339,71";"38553,32";"1917,12";"18,83";"5,55";"45,17";"49,28";3501103
"Alto Alegre";"2013";"70528,33";"16617,36";"5623,84";"38827,71";"26076,78";"2563,1";"23,56";"7,97";"55,05";"36,97";3501103
"Alto Alegre";"2014";"88241,26";"18290,85";"9183,08";"46025,71";"33032,47";"3415,95";"20,73";"10,41";"52,16";"37,43";3501103
"Alto Alegre";"2015";"79026,31";"20046,16";"10336,13";"47137,74";"21552,45";"5084,24";"25,37";"13,08";"59,65";"27,27";3501103
"Alumínio";"2011";"1309725,74";"71534,94";"932140,67";"375243,34";"2341,74";"410543,67";"5,46";"71,17";"28,65";"0,18";3501152
"Alumínio";"2012";"1176163,41";"69445,56";"796845,62";"377430,52";"1887,28";"483709,75";"5,9";"67,75";"32,09";"0,16";3501152
"Alumínio";"2013";"1161468,74";"68132,86";"756791,32";"403900,89";"776,53";"371395,57";"5,87";"65,16";"34,78";"0,07";3501152
"Alumínio";"2014";"1205171,85";"72106,92";"764938,59";"439425,36";"807,9";"321499,67";"5,98";"63,47";"36,46";"0,07";3501152
"Alumínio";"2015";"1284655,8";"81387,59";"840251,23";"443659,03";"745,54";"525008,75";"6,34";"65,41";"34,54";"0,06";3501152
"Álvares Florence";"2011";"94167,22";"12065,69";"47772,32";"28298,4";"18096,5";"1738,32";"12,81";"50,73";"30,05";"19,22";3501202
"Álvares Florence";"2012";"109840,16";"14803,77";"49412,71";"35623,18";"24804,27";"1989,6";"13,48";"44,99";"32,43";"22,58";3501202
"Álvares Florence";"2013";"95656,51";"16951,87";"27001,74";"38065,9";"30588,87";"2008,14";"17,72";"28,23";"39,79";"31,98";3501202
"Álvares Florence";"2014";"84649,31";"18057,23";"10742,87";"39987,48";"33918,97";"1831,42";"21,33";"12,69";"47,24";"40,07";3501202
"Álvares Florence";"2015";"86084,09";"19052,49";"11772,54";"41278,97";"33032,57";"1775,41";"22,13";"13,68";"47,95";"38,37";3501202
"Álvares Machado";"2011";"243543,82";"60823,52";"57206,71";"173739,88";"12597,24";"28868,9";"24,97";"23,49";"71,34";"5,17";3501301
"Álvares Machado";"2012";"280428,77";"67406,28";"67289,55";"198229,11";"14910,11";"33717,5";"24,04";"24";"70,69";"5,32";3501301
"Álvares Machado";"2013";"322842,72";"76397,37";"64613,54";"232262,3";"25966,88";"36978,1";"23,66";"20,01";"71,94";"8,04";3501301
"Álvares Machado";"2014";"347156,54";"81583,96";"67847,12";"254462,12";"24847,31";"42702,65";"23,5";"19,54";"73,3";"7,16";3501301
"Álvares Machado";"2015";"371603,24";"89867,67";"68775,16";"282680,66";"20147,42";"48380,52";"24,18";"18,51";"76,07";"5,42";3501301
